player_id,name_common,year_id,age,pos,team_id,tmRtg,franch_id,G,Min,MP%,MPG,P/36,TS%,A/36,R/36,SB/36,TO/36,Raptor O,Raptor D,Raptor+/-,Raptor WAR,PIE%,AWS%,USG%,AST%,TOV%,ORB%,DRB%,TRB%,STL%,BLK%,ORtg,%Pos,DRtg,2P%,3P%,FT%,3PAr,FTAr
laymaja01,Jake Layman,2020,25,PF,MIN,-4.1,MIN,23,505,16.2,22,14.5,54.4,1,3.9,1.9,1.7,-2.3,0.3,-2,0.2,5.7,5.9,17.7,4.4,11.1,3.4,8.7,6,1.6,1.6,102.1,16.7,114.5,53.3,33.3,75,40.2,17.9
martike03,Kelan Martin,2020,24,SF,MIN,-4.1,MIN,31,495,15.9,16,13.9,50.6,1.6,6.8,1.1,1.4,-4.3,-0.7,-5,-0.6,6.9,5.2,17.8,6.8,9.3,2.5,18.6,10.2,0.7,1.5,100.5,17,114.3,54.1,26,96.8,53,17.1
reidna01,Naz Reid,2020,20,C,MIN,-4.1,MIN,30,495,15.9,16.5,18.9,50.5,2.5,8.7,2.9,1.5,-0.3,1.6,1.3,1,8.7,9.3,24,11.2,7.6,7,19.9,13.2,1.8,3.7,104.7,23.3,109.8,46.6,33,69.8,39.9,21.8
beaslma01,Malik Beasley,2020,23,SG,MIN,-4.1,MIN,14,463,14.9,33.1,21.8,59.1,2,5.3,0.8,1.6,1.8,-4.9,-3.1,-0.1,11.4,11.8,23.7,9.8,7.9,2,14.7,8.1,0.9,0.4,111.1,21.7,115.5,51.7,42.6,75,49.4,12
hernaju01,Juan Hernangómez,2020,24,PF,MIN,-4.1,MIN,14,411,13.2,29.4,15.3,57.6,1.5,8.6,1.5,1.2,1.1,-1.3,-0.2,0.5,9.8,10.9,17.1,6.4,8.2,4.7,22.1,13.1,1.6,0.8,113.8,16.5,111.9,48.5,42,60.9,50.4,33.6
russeda01,D'Angelo Russell,2020,23,PG,MIN,-4.1,MIN,12,392,12.6,32.7,23.1,55.3,7,4.9,1.9,4.1,2.2,-2.4,-0.2,0.5,13.3,11.6,29.5,33.1,16.4,0.8,14.5,7.4,2,0.8,104.9,29.9,112.8,48.5,34.5,87.3,52.1,26.1
vonleno01,Noah Vonleh,2020,24,C,MIN,-4.1,MIN,29,347,11.2,12,11.9,60.5,2.6,11.6,1.7,1.9,-3.9,2.3,-1.6,0.2,11.2,11.6,13.9,10.8,16.2,10,25.9,17.6,1.5,1.4,119.5,15.1,110.8,62.5,14.3,82.1,16.3,32.6
johnsja01,James Johnson,2020,32,PF,MIN,-4.1,MIN,14,338,10.9,24.1,17.3,58.8,5.5,6.8,3.9,3.4,0.6,-2.6,-2,0.1,11.1,11.8,21.4,24.4,18.8,5.1,15.9,10.3,2.6,4.7,109,22.4,108.2,57.3,37,67.6,35.9,26.6
belljo01,Jordan Bell,2020,25,C,MIN,-4.1,MIN,27,235,7.6,8.7,12.3,57,2.1,11.6,1.8,2.7,-1.1,1.3,0.3,0.4,9.7,10,15.9,8.6,19.8,12.1,23.3,17.5,0.4,3.5,108.4,17.2,112.4,58.8,22.2,58.6,15,48.3
nowelja01,Jaylen Nowell,2020,20,SG,MIN,-4.1,MIN,15,151,4.9,10.1,13.1,47.1,4.4,3,0.9,0.7,-2.2,1.6,-0.6,0.2,6.8,5.9,17.3,17.8,4.7,2,7.3,4.5,0.9,0.6,109.5,17.5,117,59.3,11.5,94.1,49.1,32.1
crabbal01,Allen Crabbe,2020,27,SG,MIN,-4.1,MIN,9,131,4.2,14.6,7.7,41.6,1.3,3.2,0,1.3,-6.5,-6.2,-12.7,-0.7,1,-1.3,12.5,5.1,12.5,0.8,9.2,4.8,0,0,80.8,12,119,62.5,23.1,50,76.5,5.9
vandeja01,Jarred Vanderbilt,2020,20,PF,MIN,-4.1,MIN,2,5,0.2,2.5,13.9,53.2,0,7,0,0,-17.2,0.2,-17,0,9.8,6.9,15.5,0,0,0,21.9,10.6,0,0,123.7,14,116.3,NA,0,100,100,200
evansja02,Jacob Evans,2020,22,SG,MIN,-4.1,MIN,2,4,0.1,2,0,0,0,0,0,0,-3.9,9.6,5.7,0,-6.1,-10.1,10.3,0,0,0,0,0,0,0,0,8.9,121.3,NA,0,NA,100,0
holidjr01,Jrue Holiday,2020,29,SG,NOP,-0.8,NOH,55,1922,62,34.9,19.4,53.5,6.8,4.8,2.5,2.8,2.7,2.1,4.8,7.4,11.8,11.8,24.7,29.8,13.6,3.8,10.9,7.3,2.2,1.9,109,25.3,111.1,50.2,35.7,70,34.6,18.3
ingrabr01,Brandon Ingram,2020,22,PF,NOP,-0.8,NOH,56,1919,61.9,34.3,24.5,59,4.4,6.3,1.7,3.1,2.1,-1,1.1,3.8,13.3,12.1,28.2,19.8,13.1,2.7,16.6,9.6,1.3,1.6,112.1,27.3,111.8,50.9,38.7,85.8,35.2,32.8
balllo01,Lonzo Ball,2020,22,PG,NOP,-0.8,NOH,56,1817,58.6,32.4,13.3,52.9,7.5,6.6,2.1,3.3,-0.3,0.2,-0.1,2.5,10.7,10.4,18.6,29.3,20.7,3.6,16.6,10.1,2,1.4,104.9,20.3,110.5,45.3,38.3,56.7,57.8,10.7
hartjo01,Josh Hart,2020,24,SF,NOP,-0.8,NOH,57,1563,50.4,27.4,12.8,55.6,2.1,8.2,1.8,1.4,-0.2,0.5,0.4,2.5,8.7,8.9,15.3,8,11.1,3.6,21.4,12.5,1.7,1.1,109.3,14.8,110.1,57.1,34.2,74.7,67.6,18.9
redicjj01,J.J. Redick,2020,35,SG,NOP,-0.8,NOH,54,1425,45.9,26.4,19.6,63.9,2.6,3.4,0.7,1.6,2.4,-3,-0.6,1.6,9.9,10.6,19.9,10.8,9.4,0.7,9.7,5.2,0.6,0.5,122.1,18.5,116,44.6,45.2,90.2,61.8,29.2
favorde01,Derrick Favors,2020,28,C,NOP,-0.8,NOH,45,1089,35.1,24.2,13.2,62.4,2.4,14.2,2.2,1.6,1.1,2.3,3.4,3.4,13.4,14.9,14.4,9.8,13.3,14.1,29,21.5,1.1,3.4,126.2,15.4,108.3,63.1,14.3,58.1,2.3,20.3
mooreet01,E'Twaun Moore,2020,30,SG,NOP,-0.8,NOH,51,958,30.9,18.8,15.8,50.9,2.6,4.4,1.4,1.4,-0,-1.3,-1.3,0.7,7.1,6.9,19.9,10.9,8.1,3.2,10.4,6.8,1.4,0.9,103.8,18.8,113.9,45.6,37.5,67.4,39,10.5
hayesja02,Jaxson Hayes,2020,19,C,NOP,-0.8,NOH,56,951,30.7,17,15.3,67.5,1.9,8.1,2.8,1.5,-1.9,-1.2,-3.1,-0.2,9.4,11.3,15.1,7.5,11.6,9,15.7,12.3,1.1,4.6,130.9,15.3,110.2,66.7,25,63,1.7,73.6
mellini01,Nicolò Melli,2020,29,C,NOP,-0.8,NOH,52,889,28.7,17.1,13.8,58.3,2.6,6.1,1.9,1.6,-1.7,-0.7,-2.5,0.1,7.5,8.5,15.9,10.2,12.1,4.4,14.3,9.3,1.6,1.8,113.7,15.6,111.7,59.2,36.1,73.3,64.7,21.6
willike04,Kenrich Williams,2020,25,PF,NOP,-0.8,NOH,35,779,25.1,22.3,5.9,43,2.4,7.9,2,0.9,-2.3,2.6,0.2,1.2,5,5.7,9.2,8.3,12,6.6,17.5,12,1.5,2.2,103.1,10,110.8,51.1,26,37.5,67.1,16.8
jacksfr01,Frank Jackson,2020,21,PG,NOP,-0.8,NOH,51,656,21.1,12.9,15.1,50,2.2,3.8,1,2.3,-2.4,-4.3,-6.7,-1.3,4.4,3,20.4,8.6,13.1,3,8.4,5.7,1.1,0.5,96.5,19.6,115.2,43.8,32.5,75,46.7,24.9
willizi01,Zion Williamson,2020,19,PF,NOP,-0.8,NOH,19,565,18.2,29.7,27.5,62.4,2.5,7.9,1.5,3.1,1.5,0.9,2.4,1.5,14.8,15.5,29.6,12.6,12.4,10.2,13.9,12,1.3,1.3,115.9,28.2,112.9,59.5,46.2,64.5,4.5,52.1
alexani01,Nickeil Alexander-Walker,2020,21,SG,NOP,-0.8,NOH,41,501,16.2,12.2,14.6,44.1,5.1,5.5,1.2,2.8,-2.5,-1.9,-4.3,-0.4,6.1,3.6,22.8,20.3,14.3,1.7,15.2,8.4,1,1.2,90.9,22.7,113.2,33.6,34.2,60.7,51.5,12.3
okafoja01,Jahlil Okafor,2020,24,C,NOP,-0.8,NOH,28,424,13.7,15.1,17.5,63.1,2.9,9.7,2.1,2.9,-1.4,-2.2,-3.7,-0.2,10.4,10.7,19.8,12.6,17.5,11.4,18.2,14.8,0.8,3.7,116.2,20.4,111.1,61.3,50,63.8,1.4,40.3
cheatzy01,Zylan Cheatham,2020,24,SF,NOP,-0.8,NOH,3,31,1,10.3,4.5,40,2.2,6.7,1.1,3.4,-13.2,-8.6,-21.8,-0.3,0.8,-3.4,10.5,7.9,37.5,3.4,17.1,10.2,0,2.7,67.1,11.4,113.8,50,0,NA,20,0
grayjo01,Josh Gray,2020,26,PG,NOP,-0.8,NOH,2,23,0.7,11.5,3,50,3,3,0,7.5,-12.5,0.7,-11.8,-0.1,-1.5,-7.7,12.4,10.4,71.4,4.6,4.6,4.6,0,0,47.2,14.8,119,50,NA,NA,0,0
randlju01,Julius Randle,2020,25,PF,NYK,-6.5,NYK,64,2080,65.1,32.5,21.9,53.8,3.5,10.9,1.3,3.4,-0.8,-0.3,-1.1,1.7,13.2,10.9,27.6,15.8,14.3,7.5,24.9,16,1.2,1,104.5,27.6,112.2,51.5,27.7,73.3,23,35
barrerj01,RJ Barrett,2020,19,SG,NYK,-6.5,NYK,56,1704,53.4,30.4,17.2,47.9,3.1,6,1.5,2.7,-1.8,-2.4,-4.2,-1.3,7.4,5.3,24,12.8,12.9,3,14.8,8.7,1.6,0.9,94.8,23.4,113.9,43.2,32,61.4,27.1,34.9
